id,type,text1,text2,text3,notes,Column 07
,,,,,,
Beheslaught_XIV,SHIP,"An insane ship that could have only come from someone who was using substances, or a crazy AI, this ship was created by DN3's gamma AI after it had began malfunctioning. When the AI had been confiscated and questioned by AI experts it claimed that it was also DN3, upon being asked why it had made such a ship, it gave a rather confusing answer, apparantly quoting something the original engineer had said somewhere: ""This is what happens when you are bored and decide to shitbash"".",,,,
Tanngrisni_XIV,SHIP,An experimental XIV ship that was made for testing out how in theory a ship that orginally seemed like it was intended to be outfitted with energy weapons will handle a ballistic loadout. ,,,,
Trajan_XIV,SHIP,"A large support carrier, it saw several modifications from it's original design in terms of inner circuitry and components, the performance interested the XIV Battlegroup into making it available for their own officers. ",,,,
Knobkerrie_XIV,SHIP,"A massive experimental ship that was funded by high ranking XIV officers, at the cost of many smaller turrets and point defence capabilities, attempts to focus the majority of available weapon space on three aggressive large missile hardpoints.",,,,
Kana_XIV,SHIP,"The original design was seen in action by travelling XIV officers who were visiting the Legionary republic undercover, their excited reports entailed more work for XIV engineers in order to reverse engineer, and then create a copy of that ship for the XIV Battlegroups fleet.",,,,
Crossbow_XIV,SHIP,"A very unordinary looking ship, was taken up as a sort of hobby project by an engineer who thought that such a ship could be of use to the XIV Battlegroup, further contact with that engineer seemed to have been lost after the ships original creators found out about the project. ",,,,
Cassowary_XIV,SHIP,"After the previous defeat of one of the rarest ships in the sector at the hands of the Hegemony, the XIV Battlegroup took interest in such a unique ship and managed to reverse engineer that ship from the salvaged remains and with some genuis ship engineers working on the project, managed to make such a ship available for construction for the XIV Battlegroup.",,,,
Haast_XIV,SHIP,"Originally a massive midline design, the XIV Battlegroup had come to the decision that it had insufficient ships of the line for all possible situations, and so an order was placed for the creation of what is now know as the XIV Haast. ",,,,
Executor_XIV,SHIP,"No one knows exactly where the original design had appeared from, although local rumours say that its origins have something to do with the words of ""Archeon Order"", however what that is, no one has found out yet... And the XIV Battlegroup isn't telling.",,,,
Ingria_XIV,SHIP,"A lowtech design that was found in the folder of some low class XIV officer, it seems pretty outdated but in the present day sector everything can be put to good use.",,,,
Sevastoron_XIV,SHIP,"An odd looking design that was mothballed and burying under tons of paperwork and unfiled tax reports. The Sevatoron Sports a surprisingly strong armament but as a result suffers from a battlecruisers armour and hull hitpoints, in effect, the Sevastoron is classified in the Hegemony database as a ""fast battleship"".",,,,
Pegasus_XIV,SHIP,"The Pegasus was an aspirational design initiative by Altair Exotech building off the immense profit and prestige generated by the ""Cruiser School"" turn of the Domain Armada procurement arm. Orion Shipyards, the primary supplier of capital craft to the Armada, naturally considered this an imposition on a field it had dominated up to that point. Many of the old admirals agreed and uptake was slow; nevertheless, the Pegasus anchored several of the newer battlegroups and found favor among a generation of young officers.

The unparalleled heavy missile-focused loadout is a striking distinction from more traditional designs, allowing the Pegasus to compromise on scale of power systems and flux-handling while maintaining respectable armor, top speed, and maneuverability. Traditionalists criticize the Pegasus' ""staying power"" under fire while counter-critics respond that if a fleet finds itself under sustained heavy fire, it has already made a serious tactical error. Despite the debates (which continue to this day) the combat performance of the Pegasus-class has earned it begrudging respect even from detractors. This is a 14th battlegroup variant with slightly better specs and repurposed mounts.",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
